date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:22	233410/233410	---MCZ	200	added ('OK')	text/html	etag:%2238fc2-yClw538USsuMESh1b8iIc5EGSFk%22	https://shoppu.mochi.at/produkte/merchandising	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/merchandising.html	(from )
13:08:22	20/20	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2024%20Dec%202025%2010:08:22%20GMT	https://shoppu.mochi.at/robots.txt		(from )
13:08:25	11068/11068	---M-Z	200	added ('OK')	application/javascript	etag:W/%2298fbad0dbf9695b5ae065aa7f8090cbd%22	https://static.klaviyo.com/onsite/js/Vy7wQ6/klaviyo.js	C:/My%20Web%20Sites/merch/static.klaviyo.com/onsite/js/Vy7wQ6/klaviyo.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:28	2991/2991	---MCZ	200	added ('OK')	application/javascript	etag:W/%22baf-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/984e7ee.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/984e7ee.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:35	135211/135211	---M--	200	added ('OK')	image/jpeg	etag:W/%222102b-183eb3e7ae0%22	https://shoppu.mochi.at/shop_thumbnail.jpg	C:/My%20Web%20Sites/merch/shoppu.mochi.at/shop_thumbnail.jpg	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:36	260445/260445	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f95d-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/a9e356b.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/a9e356b.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:36	7517/7517	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d5d-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/142cfcc.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/142cfcc.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:36	253818/253818	---MCZ	200	added ('OK')	application/javascript	etag:W/%223df7a-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/75fd824.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/75fd824.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:37	19702/19702	---MCZ	200	added ('OK')	application/javascript	etag:W/%224cf6-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/66b05f3.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/66b05f3.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:37	342812/342812	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253b1c-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/51e8c8c.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/51e8c8c.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:37	21390/21390	---MCZ	200	added ('OK')	application/javascript	etag:W/%22538e-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/008b63d.js	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/008b63d.js	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:38	786/786	---M--	200	added ('OK')	image/png	etag:W/%22312-183eb3e7ae0%22	https://shoppu.mochi.at/hover_cursor.png	C:/My%20Web%20Sites/merch/shoppu.mochi.at/hover_cursor.png	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:38	1254/1254	---M--	200	added ('OK')	image/png	etag:W/%224e6-183eb3e7ae0%22	https://shoppu.mochi.at/cursor_hand_coin.png	C:/My%20Web%20Sites/merch/shoppu.mochi.at/cursor_hand_coin.png	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:44	63063/63063	---M--	200	added ('OK')	image/png	etag:W/%22f657-1978335e1e0%22	https://shoppu.mochi.at/_nuxt/img/51a1260.png	C:/My%20Web%20Sites/merch/shoppu.mochi.at/_nuxt/img/51a1260.png	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:44	229543/229543	---MCZ	200	added ('OK')	text/html	etag:%22380a7-UYB0Kd5hbbIFp5qA/g0FFh4Sk+g%22	https://shoppu.mochi.at/produkte/frontpage	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/frontpage.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:45	205362/205362	---MCZ	200	added ('OK')	text/html	etag:%2232232-KSeU947Ck9Z1qeWIOiPkul6Njc0%22	https://shoppu.mochi.at/produkte/homemade-by-mochi	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/homemade-by-mochi.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:47	235058/235058	---MCZ	200	added ('OK')	text/html	etag:%2239632-aSV+6VELvzlHQ1ABbA9rFaj8Kwg%22	https://shoppu.mochi.at/produkte/homecooking	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/homecooking.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:58	225028/225028	---MCZ	200	added ('OK')	text/html	etag:%2236f04-c+pkkR5NrediR3dT4Dp7c+3mTB0%22	https://shoppu.mochi.at/produkte/tabletop-cooking-ware	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/tabletop-cooking-ware.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:08:59	194209/194209	---MCZ	200	added ('OK')	text/html	etag:%222f6a1-Of4evVMYzk+aU/dVIeBELV3Z2FM%22	https://shoppu.mochi.at/produkte/alcoholic-drinks	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/alcoholic-drinks.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:07	170286/170286	---MCZ	200	added ('OK')	text/html	etag:%222992e-wRsSZSqQsGlLJ13fz8++95Vuuxs%22	https://shoppu.mochi.at/produkte/non-alcoholic-drinks	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/non-alcoholic-drinks.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:08	168826/168826	---MCZ	200	added ('OK')	text/html	etag:%222937a-Hh0jeBzKMAOZmv8T5WhPuCKCcL0%22	https://shoppu.mochi.at/produkte/homemade-by-mochi-drinks	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/homemade-by-mochi-drinks.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:09	165314/165314	---MCZ	200	added ('OK')	text/html	etag:%22285c2-LIqR8ODiyC5MUiQ9LLprX6XC+do%22	https://shoppu.mochi.at/produkte/voucher	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/voucher.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:10	166008/166008	---MCZ	200	added ('OK')	text/html	etag:%2228878-uDkQTUKsegafi8rAvhc9BRVQaeY%22	https://shoppu.mochi.at/produkte/mochi-cookbooks	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/mochi-cookbooks.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:11	198634/198634	---MCZ	200	added ('OK')	text/html	etag:%22307ea-XncUZONpuwdImfzuSdtVGVlUxSM%22	https://shoppu.mochi.at/produkte/p/chili-mayo-shirt	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/p/chili-mayo-shirt.html	(from https://shoppu.mochi.at/produkte/merchandising)
13:09:12	199831/199831	---MCZ	200	added ('OK')	text/html	etag:%2230c97-jv53DXENbZzTtXTG/pwjUObL7pg%22	https://shoppu.mochi.at/produkte/p/truffel-mayo-shirt	C:/My%20Web%20Sites/merch/shoppu.mochi.at/produkte/p/truffel-mayo-shirt.html	(from https://shoppu.mochi.at/produkte/merchandising)
